program_name,Term...2,Location,Terms of Availability,Department,Course Number,Course ID,Short Name,Unit,Term,program_cost,pocket_cost,above_tuition_cost,cost_comp
Australia: Global Cities Internship II,IS,Australia,Spring with Interim,OFFC,223,32319,Australia: Global Cities Internship,12029,IS,"$1,200","$11,045","$12,245","$6,020"
New Zealand: Otago I,FA,Australia,Fall,OFFC,167,22879,New Zealand: Otago,11893,FA,"$5,120","$4,875","$9,995","$3,770"
New Zealand: Otago II,SP,Australia,Spring,OFFC,167,22879,New Zealand: Otago,11893,SP,"$5,120","$4,875","$9,995","$3,770"
Australia/New Zealand: Env Science,SP,Australia,Spring,OFFC,228,1425,Australia/New Zealand: Env Science,11621,SP,"$16,950",$840,"$17,790","$11,565"
Austria: Webster in Vienna I,FA,Europe,Fall,OFFC,242,36080,Austria: Webster University,12054,FA,"$5,370","$4,505","$9,875","$3,650"
Austria: Webster in Vienna II,SP,Europe,Spring,OFFC,242,36080,Austria: Webster University,12054,SP,"$5,370","$4,505","$9,875","$3,650"
Britain: Aberdeen I,FA,Europe,Fall,OFFC,236,1432,Britain: Aberdeen,11974,FA,"$1,200","$7,895","$9,095","$2,870"
Britain: Aberdeen II,IS,Europe,Spring with Interim,OFFC,236,1432,Britain: Aberdeen,11974,IS,"$1,200","$8,660","$9,860","$3,635"
Britain: Dundee II,IS,Europe,Spring with Interim,OFFC,243,34758,Britain: University of Dundee,12042,IS,"$1,200","$8,305","$9,505","$3,280"
Britain: Oxford CMRS I,FA,Europe,Fall,OFFC,238,1434,Britain: Oxford CMRS,11975,FA,"$6,750","$4,515","$11,265","$5,040"
Britain: Oxford CMRS II,IS,Europe,Spring with Interim,OFFC,238,1434,Britain: Oxford CMRS,11975,IS,"$6,750","$4,515","$11,265","$5,040"
Britain: Lancaster I,FA,Europe,Fall,OFFC,235,1431,Britain: Lancaster,11976,FA,"$1,200","$5,611","$6,811",$586
Britain: Lancaster II,IS,Europe,Spring with Interim,OFFC,235,1431,Britain: Lancaster,11976,IS,"$1,200","$8,850","$10,050","$3,825"
Britain: UEA I,FA,Europe,Fall,OFFC,234,1430,Britain: UEA,11978,FA,"$1,200","$6,940","$8,140","$1,915"
Britain: UEA II,IS,Europe,Spring with Interim,OFFC,234,1430,Britain: UEA,11978,IS,"$1,200","$8,899","$10,099","$3,874"
Denmark: DIS I,FA,Europe,Fall,OFFC,246,1440,Denmark,11991,FA,"$8,175","$4,365","$12,540","$6,315"
Denmark: DIS II,IS,Europe,Spring with Interim,OFFC,246,1440,Denmark,11991,IS,"$8,175","$4,365","$12,540","$6,315"
Europe: Women & Gender - canceled 22/23,FA,Europe,Fall,OFFC,280,32317,Women's & Gender Studies in Europe,12030,FA,"$9,615","$2,465","$12,080","$5,855"
France: IES Paris I,FA,Europe,Fall,OFFC,219,19008,France: Paris,11980,FA,"$5,061","$6,510","$11,571","$5,346"
France: IES Paris II,IS,Europe,Spring with Interim,OFFC,219,19008,France: Paris,11980,IS,"$5,061","$6,610","$11,671","$5,446"
France: Rennes I,FA,Europe,Fall,OFFC,220,19005,France: Rennes,11981,FA,"$4,474","$3,715","$8,189","$1,964"
France: Rennes II,IS,Europe,Spring with Interim,OFFC,220,19005,France: Rennes,11981,IS,"$4,474","$3,815","$8,289","$2,064"
Germany: Konstanz II,SP,Europe,Spring,OFFC,233,1429,Germany: Konstanz,11983,SP,"$1,200","$7,883","$9,083","$2,858"
Germany: Middlebury in Mainz I,FI,Europe,Fall with Interim,OFFC,259,33768,"Middlebury in Mainz, Germany",12040,FI,"$1,200","$7,795","$8,995","$2,770"
Germany: Middlebury in Mainz II,SP,Europe,Spring,OFFC,259,33768,"Middlebury in Mainz, Germany",12040,S,"$1,200","$7,795","$8,995","$2,770"
Germany: Middlebury in Mainz YR,YR,Europe,Year,OFFC,259,33768,"Middlebury in Mainz, Germany",12040,Y,"$1,200","$13,765","$14,965","$2,515"
Greece: College Year in Athens I,FA,Europe,Fall,OFFC,195,21156,Greece: College Yr/Athens,11901,FA,"$6,550","$4,765","$11,315","$5,090"
Greece: College Year in Athens II,IS,Europe,Spring with Interim,OFFC,195,21156,Greece: College Yr/Athens,11901,IS,"$6,550","$4,765","$11,315","$5,090"
Hungary: Budapest Sem in Math I,FA,Europe,Fall,OFFC,252,1444,Hungary: Budapest Sem,11985,FA,"$1,200","$8,765","$9,965","$3,740"
Hungary: Budapest Sem in Math II,SP,Europe,Spring,OFFC,252,1444,Hungary: Budapest Sem,11985,SP,"$1,200","$8,765","$9,965","$3,740"
Hungary: Budapest Sem in Math Education I,FA,Europe,Fall,OFFC,197,28084,Hungary: Budapest Sem in Math Ed,12014,FA,"$1,200","$7,320","$8,520","$2,295"
Hungary: Budapest Sem in Math Education II,SP,Europe,Spring,OFFC,197,28084,Hungary: Budapest Sem in Math Ed,12014,SP,"$1,200","$7,320","$8,520","$2,295"
Ireland: Dublin I,FA,Europe,Fall,OFFC,215,19019,Ireland: Dublin,11988,FA,"$1,200","$9,607","$10,807","$4,582"
Ireland: Dublin II,IS,Europe,Spring with Interim,OFFC,215,19019,Ireland: Dublin,11988,IS,"$1,200","$10,257","$11,457","$5,232"
Ireland: Galway I,FA,Europe,Fall,OFFC,245,1439,Ireland: Galway,11989,FA,"$1,200","$7,145","$8,345","$2,120"
Ireland: Galway II,IS,Europe,Spring with Interim,OFFC,245,1439,Ireland: Galway,11989,IS,"$1,200","$7,645","$8,845","$2,620"
Ireland: Trinity I,FA,Europe,Fall,OFFC,216,19018,Ireland: Trinity,11990,FA,"$1,200","$8,510","$9,710","$3,485"
Ireland: Trinity II,IS,Europe,Spring with Interim,OFFC,216,19018,Ireland: Trinity,11990,IS,"$1,200","$10,220","$11,420","$5,195"
Italy: Milan IES I,FA,Europe,Fall,OFFC,194,1419,Italy: Milan,11897,FA,"$5,448","$4,925","$10,373","$4,148"
Italy: Milan IES II,IS,Europe,Spring with Interim,OFFC,194,1419,Italy: Milan,11897,IS,"$5,448","$4,925","$10,373","$4,148"
Norway: Oslo I,FA,Europe,Fall,OFFC,239,1435,Norway: Oslo,11992,FA,"$1,200","$7,975","$9,175","$2,950"
Norway: Oslo II,IS,Europe,Spring with Interim,OFFC,239,1435,Norway: Oslo,11992,IS,"$1,200","$7,975","$9,175","$2,950"
Norway: University of Southeastern Norway I,FA,Europe,Fall,OFFC,277,19107,Norway: Telemark,12050,FA,"$1,200","$7,355","$8,555","$2,330"
Norway: University of Southeastern Norway II,IS,Europe,Spring with Interim,OFFC,277,19107,Norway: Telemark,12050,IS,"$1,200","$8,555","$9,755","$3,530"
Russia: Novgorod - canceled 22/23,FA,Europe,Fall,OFFC,221,19000,Russia: Novgorod,11987,FA,"$4,645","$2,713","$7,358","$1,133"
Russia: St. Petersburg - canceled 22/23,FA,Europe,Fall,OFFC,276,19106,Russia: St. Petersburg,11986,FA,"$4,400","$2,488","$6,888",$663
Spain: Seville I,FA,Europe,Fall,OFFC,241,1437,Spain: Seville,11993,FA,"$4,714","$3,905","$8,619","$2,394"
Spain: Seville II,IS,Europe,Spring with Interim,OFFC,241,1437,Spain: Seville,11993,IS,"$5,254","$3,905","$9,159","$2,934"
Egypt: AUC I,FA,Africa,Fall,OFFC,224,1421,Egypt: American U Cairo,10821,FA,"$2,928","$4,620","$7,548","$1,323"
Egypt: AUC II,IS,Africa,Spring with Interim,OFFC,224,1421,Egypt: American U Cairo,10821,IS,"$2,928","$4,620","$7,548","$1,323"
"Religion, Politics & Society in Jerusalem and Athens",SP,Global,Spring,OFFC,166,37176,"Jerusalem/Athens: Rel, Poli & Soc",12057,SP,"$6,225","$1,300","$7,525","$1,300"
